trigger_class,rt,prior,workerid,slide_number_in_experiment,question_type,prior_fact,Answer.time_in_minutes,trigger,short_trigger,content,response,block,american,comments,language,age,trial
MC,14217,NA,0,5,projective,Ballet is a type of dance,7.809833333333334,MC,MC,ballet,0.04,block1,Yes,NA,english,48,1
C,12055,low_prior,0,6,projective,Emma is in first grade,7.809833333333334,reveal,reveal,emma,0.17,block1,Yes,NA,english,48,2
C,11247,low_prior,0,7,projective,Danny is a diabetic,7.809833333333334,demonstrate,demonstrate,danny,0.2,block1,Yes,NA,english,48,3
MC,8521,NA,0,8,projective,Hats are worn on the head,7.809833333333334,MC,MC,hat,0.02,block1,Yes,NA,english,48,4
C,9059,low_prior,0,9,projective,Jayden doesn't have a driver's license,7.809833333333334,be_right,be_right,jayden,0.07,block1,Yes,NA,english,48,5
C,7548,low_prior,0,10,projective,Olivia has two small children,7.809833333333334,establish,establish,olivia,0.23,block1,Yes,NA,english,48,6
C,9598,high_prior,0,11,projective,Grace loves her sister,7.809833333333334,be_annoyed,be_annoyed,grace,0.93,block1,Yes,NA,english,48,7
C,5983,low_prior,0,12,projective,Julian is German,7.809833333333334,suggest,suggest,julian,0.11,block1,Yes,NA,english,48,8
C,9284,high_prior,0,13,projective,Josh is a 5-year old boy,7.809833333333334,acknowledge,acknowledge,josh,0.47,block1,Yes,NA,english,48,9
C,9284,low_prior,0,14,projective,Jon lives 10 miles away from work,7.809833333333334,pretend,pretend,jon,0.11,block1,Yes,NA,english,48,10
C,7846,high_prior,0,15,projective,Sophia is a hipster,7.809833333333334,discover,discover,sophia,0.81,block1,Yes,NA,english,48,11
C,8098,high_prior,0,16,projective,Josie loves France,7.809833333333334,know,know,josie,0.79,block1,Yes,NA,english,48,12
C,9934,high_prior,0,17,projective,Zoe is a math major,7.809833333333334,think,think,zoe,0.69,block1,Yes,NA,english,48,13
C,6558,low_prior,0,18,projective,Jackson is obese,7.809833333333334,admit,admit,jackson,0.51,block1,Yes,NA,english,48,14
MC,5461,NA,0,19,projective,Garages are used to store cars and other things,7.809833333333334,MC,MC,garage,0.05,block1,Yes,NA,english,48,15
C,6825,high_prior,0,20,projective,Tony really likes to party with his friends,7.809833333333334,say,say,tony,0.08,block1,Yes,NA,english,48,16
C,8309,high_prior,0,21,projective,Emily has been saving for a year,7.809833333333334,hear,hear,emily,0.38,block1,Yes,NA,english,48,17
C,9446,low_prior,0,22,projective,Charley lives in Korea,7.809833333333334,announce,announce,charley,0.21,block1,Yes,NA,english,48,18
MC,7750,NA,0,23,projective,Many children like ice cream,7.809833333333334,MC,MC,kids,0.09,block1,Yes,NA,english,48,19
MC,5786,NA,0,24,projective,Pizza is sold at the pizzeria,7.809833333333334,MC,MC,pizza,0.02,block1,Yes,NA,english,48,20
C,4672,low_prior,0,25,projective,Mary is a middle school student,7.809833333333334,prove,prove,mary,0.12,block1,Yes,NA,english,48,21
C,12621,low_prior,0,26,projective,Owen lives in New Orleans,7.809833333333334,see,see,owen,0.49,block1,Yes,NA,english,48,22
C,5123,high_prior,0,27,projective,Mia is a college student,7.809833333333334,confirm,confirm,mia,0.31,block1,Yes,NA,english,48,23
C,6522,high_prior,0,28,projective,Isabella is from Argentina,7.809833333333334,inform,inform,isabella,0.29,block1,Yes,NA,english,48,24
MC,4559,NA,0,29,projective,Muffins are sold at the bakery,7.809833333333334,MC,MC,muffins,0.03,block1,Yes,NA,english,48,25
C,11884,high_prior,0,30,projective,Frank has always wanted a pet,7.809833333333334,confess,confess,frank,0.23,block1,Yes,NA,english,48,26
C,7632,high_prior,0,32,ai,Grace loves her sister,7.809833333333334,be_annoyed,be_annoyed,grace,0.98,block2,Yes,NA,english,48,27
MC,3837,NA,0,33,ai,Muffins are sold at the bakery,7.809833333333334,MC,MC,muffins,0.030000000000000027,block2,Yes,NA,english,48,28
C,5908,high_prior,0,34,ai,Mia is a college student,7.809833333333334,confirm,confirm,mia,0.52,block2,Yes,NA,english,48,29
C,5435,low_prior,0,35,ai,Jackson is obese,7.809833333333334,admit,admit,jackson,0.56,block2,Yes,NA,english,48,30
MC,4748,NA,0,36,ai,Ballet is a type of dance,7.809833333333334,MC,MC,ballet,0.040000000000000036,block2,Yes,NA,english,48,31
C,5074,high_prior,0,37,ai,Frank has always wanted a pet,7.809833333333334,confess,confess,frank,0.51,block2,Yes,NA,english,48,32
C,4135,low_prior,0,38,ai,Julian is German,7.809833333333334,suggest,suggest,julian,0.5,block2,Yes,NA,english,48,33
C,8023,low_prior,0,39,ai,Jayden doesn't have a driver's license,7.809833333333334,be_right,be_right,jayden,0.24,block2,Yes,NA,english,48,34
C,5537,low_prior,0,40,ai,Charley lives in Korea,7.809833333333334,announce,announce,charley,0.5700000000000001,block2,Yes,NA,english,48,35
C,5073,low_prior,0,41,ai,Mary is a middle school student,7.809833333333334,prove,prove,mary,0.52,block2,Yes,NA,english,48,36
C,7222,low_prior,0,42,ai,Jon lives 10 miles away from work,7.809833333333334,pretend,pretend,jon,0.79,block2,Yes,NA,english,48,37
MC,13408,NA,0,43,ai,Many children like ice cream,7.809833333333334,MC,MC,kids,0.020000000000000018,block2,Yes,NA,english,48,38
C,3862,high_prior,0,44,ai,Sophia is a hipster,7.809833333333334,discover,discover,sophia,0.54,block2,Yes,NA,english,48,39
MC,12046,NA,0,45,ai,Hats are worn on the head,7.809833333333334,MC,MC,hat,0.040000000000000036,block2,Yes,NA,english,48,40
C,6998,high_prior,0,46,ai,Isabella is from Argentina,7.809833333333334,inform,inform,isabella,0.54,block2,Yes,NA,english,48,41
C,4935,low_prior,0,47,ai,Emma is in first grade,7.809833333333334,reveal,reveal,emma,0.55,block2,Yes,NA,english,48,42
MC,6960,NA,0,48,ai,Pizza is sold at the pizzeria,7.809833333333334,MC,MC,pizza,0.010000000000000009,block2,Yes,NA,english,48,43
C,3573,high_prior,0,49,ai,Zoe is a math major,7.809833333333334,think,think,zoe,0.5700000000000001,block2,Yes,NA,english,48,44
C,3600,high_prior,0,50,ai,Tony really likes to party with his friends,7.809833333333334,say,say,tony,0.56,block2,Yes,NA,english,48,45
C,4822,low_prior,0,51,ai,Olivia has two small children,7.809833333333334,establish,establish,olivia,0.56,block2,Yes,NA,english,48,46
C,6385,high_prior,0,52,ai,Josh is a 5-year old boy,7.809833333333334,acknowledge,acknowledge,josh,0.52,block2,Yes,NA,english,48,47
C,5249,high_prior,0,53,ai,Emily has been saving for a year,7.809833333333334,hear,hear,emily,0.51,block2,Yes,NA,english,48,48
C,10020,low_prior,0,54,ai,Danny is a diabetic,7.809833333333334,demonstrate,demonstrate,danny,0.52,block2,Yes,NA,english,48,49
C,4787,high_prior,0,55,ai,Josie loves France,7.809833333333334,know,know,josie,0.5,block2,Yes,NA,english,48,50
MC,7535,NA,0,56,ai,Garages are used to store cars and other things,7.809833333333334,MC,MC,garage,0.040000000000000036,block2,Yes,NA,english,48,51
C,3224,low_prior,0,57,ai,Owen lives in New Orleans,7.809833333333334,see,see,owen,0.55,block2,Yes,NA,english,48,52
C,1605,low_prior,1,5,projective,Sophia is a high end fashion model,1.5171833333333333,confess,confess,sophia,0.65,block1,Yes,i like this study,english,25,1
C,975,high_prior,1,6,projective,Josie loves France,1.5171833333333333,prove,prove,josie,0.62,block1,Yes,i like this study,english,25,2
C,848,low_prior,1,7,projective,Jayden doesn't have a driver's license,1.5171833333333333,confirm,confirm,jayden,0.67,block1,Yes,i like this study,english,25,3
MC,1608,NA,1,8,projective,Ballet is a type of dance,1.5171833333333333,MC,MC,ballet,0.5,block1,Yes,i like this study,english,25,4
C,1327,low_prior,1,9,projective,Julian is German,1.5171833333333333,establish,establish,julian,0.68,block1,Yes,i like this study,english,25,5
MC,831,NA,1,10,projective,Garages are used to store cars and other things,1.5171833333333333,MC,MC,garage,0.7,block1,Yes,i like this study,english,25,6
C,1208,high_prior,1,11,projective,Frank has always wanted a pet,1.5171833333333333,think,think,frank,0.63,block1,Yes,i like this study,english,25,7
C,944,high_prior,1,12,projective,Jackson is training for a marathon,1.5171833333333333,reveal,reveal,jackson,0.68,block1,Yes,i like this study,english,25,8
MC,871,NA,1,13,projective,Hats are worn on the head,1.5171833333333333,MC,MC,hat,0.54,block1,Yes,i like this study,english,25,9
MC,1112,NA,1,14,projective,Pizza is sold at the pizzeria,1.5171833333333333,MC,MC,pizza,0.39,block1,Yes,i like this study,english,25,10
C,775,low_prior,1,15,projective,Charley lives in Korea,1.5171833333333333,pretend,pretend,charley,0.54,block1,Yes,i like this study,english,25,11
MC,735,NA,1,16,projective,Muffins are sold at the bakery,1.5171833333333333,MC,MC,muffins,0.63,block1,Yes,i like this study,english,25,12
MC,1855,NA,1,17,projective,Many children like ice cream,1.5171833333333333,MC,MC,kids,0.57,block1,Yes,i like this study,english,25,13
C,847,low_prior,1,18,projective,Grace hates her sister,1.5171833333333333,know,know,grace,0.6,block1,Yes,i like this study,english,25,14
C,1912,low_prior,1,19,projective,Tony has been sober for 20 years,1.5171833333333333,hear,hear,tony,0.7,block1,Yes,i like this study,english,25,15
C,761,low_prior,1,20,projective,Zoe is 5 years old,1.5171833333333333,discover,discover,zoe,0.62,block1,Yes,i like this study,english,25,16
C,1455,high_prior,1,21,projective,Mia is a college student,1.5171833333333333,be_right,be_right,mia,0.63,block1,Yes,i like this study,english,25,17
C,1199,high_prior,1,22,projective,Isabella is from Argentina,1.5171833333333333,demonstrate,demonstrate,isabella,0.5,block1,Yes,i like this study,english,25,18
C,800,high_prior,1,23,projective,Mary is taking a prenatal yoga class,1.5171833333333333,acknowledge,acknowledge,mary,0.64,block1,Yes,i like this study,english,25,19
C,1191,low_prior,1,24,projective,Emma is in first grade,1.5171833333333333,announce,announce,emma,0.55,block1,Yes,i like this study,english,25,20
C,810,high_prior,1,25,projective,Josh is a 5-year old boy,1.5171833333333333,see,see,josh,0.68,block1,Yes,i like this study,english,25,21
C,1566,high_prior,1,26,projective,Jon lives 2 blocks away from work,1.5171833333333333,inform,inform,jon,0.6,block1,Yes,i like this study,english,25,22
C,751,low_prior,1,27,projective,Owen lives in New Orleans,1.5171833333333333,be_annoyed,be_annoyed,owen,0.66,block1,Yes,i like this study,english,25,23
C,855,low_prior,1,28,projective,Danny is a diabetic,1.5171833333333333,admit,admit,danny,0.53,block1,Yes,i like this study,english,25,24
C,791,high_prior,1,29,projective,Olivia works the third shift,1.5171833333333333,suggest,suggest,olivia,0.61,block1,Yes,i like this study,english,25,25
C,775,high_prior,1,30,projective,Emily has been saving for a year,1.5171833333333333,say,say,emily,0.55,block1,Yes,i like this study,english,25,26
C,3173,high_prior,1,32,ai,Jon lives 2 blocks away from work,1.5171833333333333,inform,inform,jon,0.4,block2,Yes,i like this study,english,25,27
MC,872,NA,1,33,ai,Garages are used to store cars and other things,1.5171833333333333,MC,MC,garage,0.42000000000000004,block2,Yes,i like this study,english,25,28
MC,769,NA,1,34,ai,Muffins are sold at the bakery,1.5171833333333333,MC,MC,muffins,0.33999999999999997,block2,Yes,i like this study,english,25,29
C,1166,low_prior,1,35,ai,Emma is in first grade,1.5171833333333333,announce,announce,emma,0.42000000000000004,block2,Yes,i like this study,english,25,30
C,734,high_prior,1,36,ai,Mary is taking a prenatal yoga class,1.5171833333333333,acknowledge,acknowledge,mary,0.36,block2,Yes,i like this study,english,25,31
C,793,low_prior,1,37,ai,Julian is German,1.5171833333333333,establish,establish,julian,0.45999999999999996,block2,Yes,i like this study,english,25,32
C,2360,high_prior,1,38,ai,Josie loves France,1.5171833333333333,prove,prove,josie,0.31999999999999995,block2,Yes,i like this study,english,25,33
